0,10000,0,0,0,0,0,1
3,10000,0,0,0,0,0,0
5,10000,0,0,0,0,0,1
6,10000,0,0,0,0,0,0
11,10000,0,0,0,0,0,1
15,10000,0,0,0,0,0,0
17,10000,0,0,0,0,0,1
21,10000,0,0,0,0,0,0
23,10000,0,0,0,0,0,1
27,10000,0,0,0,0,0,0
29,10000,0,0,0,0,0,1
30,10000,0,0,0,0,0,0
35,10000,0,0,0,0,0,1
39,10000,0,0,0,0,0,0
41,10000,0,0,0,0,0,1
42,10000,0,0,0,0,0,0
47,10000,0,0,0,0,0,1
48,10000,0,0,0,0,0,0
53,10000,0,0,0,0,0,1
54,10000,0,0,0,0,0,0
59,10000,0,0,0,0,0,1
60,10000,0,0,0,0,0,0
65,10000,0,0,0,0,0,1
66,10000,0,0,0,0,0,0
71,10000,0,0,0,0,0,1
72,10000,0,0,0,0,0,0
77,10000,0,0,0,0,0,1
81,10000,0,0,0,0,0,0
82,10000,0,0,0,0,0,1
87,10000,0,0,0,0,0,0
88,10000,0,0,0,0,0,1
90,10000,0,0,0,0,0,0
136,10000,0,0,0,0,0,1
138,10000,0,0,0,0,0,0
142,10000,0,0,0,0,0,1
147,10000,0,0,0,0,0,0
148,10000,0,0,0,0,0,1
150,10000,0,0,0,0,0,0
154,10000,0,0,0,0,0,1
159,10000,0,0,0,0,0,0
160,10000,0,0,0,0,0,1
162,10000,0,0,0,0,0,0
166,10000,0,0,0,0,0,1
168,10000,0,0,0,0,0,0
172,10000,0,0,0,0,0,1
174,10000,0,0,0,0,0,0
178,10000,0,0,0,0,0,1
180,10000,0,0,0,0,0,0
184,10000,0,0,0,0,0,1
186,10000,0,0,0,0,0,0
190,10000,0,0,0,0,0,1
195,10000,0,0,0,0,0,0
196,10000,0,0,0,0,0,1
198,10000,0,0,0,0,0,0
202,10000,0,0,0,0,0,1
207,10000,0,0,0,0,0,0
208,10000,0,0,0,0,0,1
212,10000,0,0,0,0,0,0
214,10000,0,0,0,0,0,1
218,10000,0,0,0,0,0,0
220,10000,0,0,0,0,0,1
221,10000,0,0,0,0,0,0
226,10000,0,0,0,0,0,1
230,10000,0,0,0,0,0,0
232,10000,0,0,0,0,0,1
233,10000,0,0,0,0,0,0
238,10000,0,0,0,0,0,1
239,10000,0,0,0,0,0,0
244,10000,0,0,0,0,0,1
245,10000,0,0,0,0,0,0
250,10000,0,0,0,0,0,1
251,10000,0,0,0,0,0,0
256,10000,0,0,0,0,0,1
257,10000,0,0,0,0,0,0
262,10000,0,0,0,0,0,1
263,10000,0,0,0,0,0,0
268,10000,0,0,0,0,0,1
272,10000,0,0,0,0,0,0
274,10000,0,0,0,0,0,1
278,10000,0,0,0,0,0,0
280,10000,0,0,0,0,0,1
281,10000,0,0,0,0,0,0
328,10000,0,0,0,0,0,1
329,10000,0,0,0,0,0,0
334,10000,0,0,0,0,0,1
338,10000,0,0,0,0,0,0
340,10000,0,0,0,0,0,1
341,10000,0,0,0,0,0,0
346,10000,0,0,0,0,0,1
350,10000,0,0,0,0,0,0
352,10000,0,0,0,0,0,1
353,10000,0,0,0,0,0,0
357,10000,0,0,0,0,0,1
359,10000,0,0,0,0,0,0
363,10000,0,0,0,0,0,1
365,10000,0,0,0,0,0,0
369,10000,0,0,0,0,0,1
371,10000,0,0,0,0,0,0
